,Laptop Brand,Price,Country of Origin,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Aspect Ratio,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Fingerprint Sensor,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,RAM,Solid State Drive,Sales Package,Security Lock Port,Chipset,Dedicated Memory,Maximum RAM Supported,Battery,Adapter Type,Other Features,USB Port Details,Battery Backup,RAM Slots,Hard Disk Capacity,Hard Disk Speed,Hard Disk Interface,Card Reader,RAM Bus Speed,Included Software,Thunderbolt,Optane Memory,Rear Camera,GPU Clock Speed,VGA,Optical Drive Speed
330,Asus,"₹64,990",,Core i5,9300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 275 x 25.8 mm,2.4 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (With 60 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v5,3 x USB 3.0,1 x HDMI v2.0 Port,,Yes,Yes,No,Illuminated Chiclet RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speakers,No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,8 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370 Express,GDDR5 4 GB,,3 Cell Battery,150 W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,,2666 MHz,"Sonic Studio, GameVisual",,,,,,
331,Asus,"₹3,99,990",,Core i9,9980HK,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),425 x 319 x 47.5 mm,4.7 kg,1 year Onsite Warranty,LED ,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit IPS Display (Support 144 Hz Refresh Rate with G-sync Enabled),10/100/1000 Mbps,IEEE 802.11ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Illuminated Chiclet Per-Key RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,"Smart Amp Speakers, ESS Hi-Fi DAC",No,Intel Core i9,"2.4 GHz, Octa Core Turbo Boost Upto 5 GHz",16 MB,NVIDIA,9th Gen,NVIDIA Geforce RTX 2080,32 GB DDR4,1 TB,"Laptop, Power Adaptor, Laptop Bag, Gaming Headset, Gaming Mouse, User Guide, Warranty Documents",Kensington Lock Slot,Intel HM370 Express,GDDR6 8 GB,Upto 64 GB,8 Cell Battery,560W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,SD Card Reader,2666 MHz,"GameFirst, Sonic Studio and Sonic Radar III, Aura, XSplit Gamecaster",,,,,,
332,Asus,"₹77,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 275 x 25.8 mm,2.4 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (With 120 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v5,3 x USB 3.0,1 x HDMI v2.0 Port,,Yes,Yes,No,Illuminated Chiclet RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370 Express,GDDR5 4 GB,,3 Cell Battery,150 W AC Adapter,Li-ion Battery,,,2,,,,,2666 MHz,"GameFirst, GameVisual, Sonic Studio",,,,,,
333,Asus,"₹52,990",,Core i5,9300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 275 x 25.8 mm,2.4 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (With 60 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v5,3 x USB 3.0,1 x HDMI v2.0 Port,,Yes,Yes,No,Illuminated Chiclet RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speakers,No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1050,8 GB DDR4,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370 Express,GDDR5 4 GB,,3 Cell Battery,150 W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,,2666 MHz,"Sonic Studio, GameVisual",,,,,,
334,Asus,"₹88,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 275 x 25.8 mm,2.4 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (With 120 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v5,3 x USB 3.0,1 x HDMI v2.0 Port,,Yes,Yes,No,Illuminated Chiclet RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,16 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370 Express,GDDR5 4 GB,,3 Cell Battery,150 W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,,2666 MHz,"GameFirst, GameVisual, Sonic Studio",,,,,,
335,Asus,"₹79,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 275 x 25.8 mm,2.4 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (With 120 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v5,3 x USB 3.0,1 x HDMI v2.0 Port,,Yes,Yes,No,Illuminated Chiclet RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,8 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370 Express,GDDR5 4 GB,,3 Cell Battery,150 W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,,2666 MHz,"GameFirst, GameVisual, Sonic Studio",,,,,,
336,HP,"₹77,540",,Core i5,9300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 256 x 23.4 mm,2.28 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Micro Edge Display (With 60 Hz Refresh Rate),Integrated 10/100/1000 Gigabit LAN,IEEE 802.11a/b/g/n/ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Full Size Island-style Ultra Violet ,Yes,Multi Gesture Touchpad,Dual Array Digital Microphone,Built-in Dual Speakers,"Bang and Olufsen Play with DTS Studio Sound, HP Audio Boost 1.0",No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1050,8 GB DDR4,256 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,GDDR5 4 GB,,3 Cell Battery,,"Li-ion Battery, Supports Fast Charge, Miracast Certified",,,2,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2666 MHz,"HP Audio Switch, HP JumpStart, HP Support Assistant",,,,,,
337,HP,"₹1,05,932",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 256 x 23.4 mm,2.28 kg,1 year Onsite Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Micro Edge Display (With 144 Hz Refresh Rate),Integrated 10/100/1000 Gigabit LAN,IEEE 802.11a/b/g/n/ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Full Size Island-style Ultra Violet ,Yes,Multi Gesture Touchpad,Dual Array Digital Microphone,Built-in Dual Speakers,"Bang and Olufsen Play with DTS Studio Sound, HP Audio Boost 1.0",No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,12 GB DDR4,512 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,,GDDR5 4 GB,,3 Cell Battery,,"Li-ion Battery, Supports Fast Charge, Miracast Certified",,,2,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2666 MHz,"HP Audio Switch, HP JumpStart, HP Support Assistant, Microsoft Office Home and Student 2019",,,,,,
338,HP,"₹71,990",,Core i5,9300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),362 x 261 x 20 mm,2.38 kg,1 year Onsite Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Micro Edge Display (With 60 Hz Refresh Rate),Integrated 10/100/1000 Gigabit LAN,IEEE 802.11a/b/g/n/ac,v5,"2 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Full Size 4 Zone ,Yes,Multi Gesture Touchpad,Dual Array Digital Microphone,Built-in Dual Speakers,"Bang and Olufsen Play with DTS Studio Sound, HP Audio Boost 2.0",No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,8 GB DDR4,256 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",Kensington Mini Saver Lock,,GDDR5 4 GB,,3 Cell Battery,150 W AC Power Adapter,"Li-ion Battery, Supports Fast Charge, Miracast Certified",,,,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2666 MHz,"HP Audio Switch, HP JumpStart, HP Support Assistant, Omen Command Center",,,,,,
339,HP,"₹81,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),362 x 261 x 20 mm,2.38 kg,1 year Onsite Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Micro Edge Display (With 60 Hz Refresh Rate),Integrated 10/100/1000 Gigabit LAN,IEEE 802.11a/b/g/n/ac,v5,"2 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Full Size 4 Zone ,Yes,Multi Gesture Touchpad,Dual Array Digital Microphone,Built-in Dual Speakers,"Bang and Olufsen Play with DTS Studio Sound, HP Audio Boost 2.0",No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,8 GB DDR4,256 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",Kensington Mini Saver Lock,,GDDR5 4 GB,,3 Cell Battery,,"Li-ion Battery, Supports Fast Charge, Miracast Certified",,,,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2666 MHz,"HP Audio Switch, HP JumpStart, HP Support Assistant, Omen Command Center",,,,,,
340,HP,"₹1,11,900",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home  (64-bit),360 x 256 x 23.4 mm,2.25 kg,1 year Warranty,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Micro-edge WLED-backlit ,,802.11a/b/g/n/ac (2x2),Yes,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Full-size island-style with Numeric keypad,Yes,HP Imagepad with multi-touch Gesture Support; Precision Touchpad Support,,Dual speakers,HP Audio Boost,No,Intel Core i7-9750H,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA GeForce GTX 1660 Ti ,12 GB DDR4,512 GB,,,Intel HM370,GDDR6 6 GB,,3 Cell Battery,200 W AC Power Adapter,,,,2,1 TB,7200 RPM,M.2 SSD,Multi-format SD Media Card Reader,2666 MHz,"McAfee LiveSafe, McAfee LiveSafe 30-day free trial offer",,,,,,
341,Asus,"₹67,390",,Ryzen 7 ,3750H,Gaming,Netbook,Windows 10 Home Basic (64-bit),399.8 x 279.4 x 26.6 mm,2.6 kg,1 year Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit Display,,802.11 a/b/g/n/ac,v5,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Gaming RGB Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,AMD Ryzen 7 3750H,"2.3 GHz, Quad Core",,NVIDIA,,NVIDIA GeForce GTX 1650,8 GB DDR4,512 GB,,Yes,,4 GB,Upto 32 GB,4 Cell Battery,150W AC Adapter,,,Upto 6 hours,1,,,,Yes,2400 MHz,,,,,,,
342,MSI,"₹1,44,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),383 x 260 x 29 mm,2.2 kg,2 years Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Wideview Display (with 120 Hz Refresh Rate, 100% sRGB)",Killer E2400,Intel 9560,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Per Key RGB SteelSeries Keyboard (Full Color),Yes,Yes,Built-in Microphone,Built-in Speakers,2 x 3 W Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce RTX 2060,16 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 6 GB,,6 Cell Battery,,Li-ion Battery,,,,1 TB,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",,"Cooler Boost, Dragon Center 2.0, Nahimic 3, True Color 2.0",,,,,,
343,Asus,"₹59,500",,AMD Ryzen 5 3550H,FX505DD-AL199T,Gaming,Netbook,Windows 10 Home Basic (64-bit),360 x 262 x 25.8 mm,2.3 kg,1 Year,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Diagonal FHD IPS micro-edge WLED-backlit Display,,802.11 a/b/g/n/ac,v5,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Chiclet keyboard with isolated numpad key,,Multi-touch gesture support,Internal Microphone,Stereo Speakers,,No,AMD Ryzen 5 3550H,"2.1 GHz, Quad Core",,NVIDIA,,NVIDIA GeForce GTX 1050,8 GB DDR4,256 GB,,,,3 GB,,4 Cell Battery,,,,,2,1 TB,5400 RPM,SATA,Yes,2400 MHz,,,,,,,
344,MSI,"₹52,990",,Core i5,8265U,Gaming,Netbook,Windows 10 Home Basic (64-bit),322 x 222 x 15.9 mm,1.18 kg,1 year Warranty,LED,No,14 inches,1920 x 1080 pixels,~ 157,,Yes,Full HD LED Backlit Display,No,802.11 a/b/g/n/ac,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,Yes,Yes,Yes,Yes,Gaming Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,Intel Core i5-8265U ,"1.6 GHz, Quad Core Turbo Boost Upto 3.9 GHz",6 MB,Intel,8th Gen,Intel UHD 620,8 GB DDR4,512 GB,,,,,Upto 16 GB,4 Cell Battery,65W Adapter ,,,Upto 10 hours,1,,,,Yes,2400 MHz,,,,,,,
345,Asus,"₹59,490",,AMD Ryzen 7 3750H,FX505DT-AL003T,Gaming,Netbook,Windows 10 Home Basic (64-bit),360 x 262 x 25 mm,2.2 kg,1 Year,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit Display,,802.11 a/b/g/n/ac,v4.2,"3 x USB 3.0, 1 x USB 2.0",,,Yes,Yes,Yes,Gaming RGB Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,AMD Ryzen 7 3750H,"2.3 GHz, Quad Core",,NVIDIA,,NVIDIA GeForce GTX 1650,8 GB DDR4,512 GB,,,,4 GB,Upto 32 GB,3 Cell Battery,,,,,1,,,,Yes,2400 MHz,,,,,,,
346,Asus,"₹70,876",,AMD Ryzen 7 3750H,FX505DT-AL033T,Gaming,Netbook,Windows 10 Home Basic (64-bit),360 x 262 x 25 mm,2.2 kg,1 Year,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit Display,,802.11 a/b/g/n/ac,v4.2,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Gaming RGB Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,AMD Ryzen 7 3750H,"2.3 GHz, Quad Core",,NVIDIA,,NVIDIA GeForce GTX 1650,8 GB DDR4,256 GB,,,,4 GB,Upto 32 GB,3 Cell Battery,,,,,1,1 TB,5400 RPM,SATA,Yes,2400 MHz,,,,,,,
347,Lenovo,"₹45,000",,Core i5,"81DE01JVIN, Ideapad",Gaming,Netbook,DOS,,,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,Full HD,,802.11 a/b/g/n/ac,v4.1,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,,,Yes,Yes,,,No,Intel Core i5,,,NVIDIA,8th Gen,NVIDIA Geforce,8 GB DDR4,,"Laptop, Charger, Manual",Yes,,GDDR5 2 GB,,,,,,Upto 6 hours,,2 TB,,,Yes,,,,,,,,
348,MSI,"₹1,19,990",,Core i7,9750H,Gaming,Netbook,Windows 10 Home Basic (64-bit),381 x 261.62 x 24.5 mm,2.4 kg,2 years Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit Display,,802.11 a/b/g/n/ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Gaming Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,Intel Core i7-9750H ,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA GeForce RTX 2060,16 GB DDR4,512 GB,,,,6 GB,Upto 32 GB,6 Cell Battery,180W Adapter ,,,,1,1 TB,7200 RPM,SATA,Yes,2400 MHz,,,,,,,
349,HP,"₹1,64,345",,Core i7,8750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 262.9 x 26 mm,2.38 kg,1 year Onsite Warranty,LED,No,15.6 inches,3840 x 2160 pixels,~ 282,,Yes,Ultra HD LED Backlit Display ,Integrated 10/100/1000 Gigabit LAN,IEEE 802.11b/g/n/ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,"Full Size 4 Zone Lighting , Yes",Yes,Multi Gesture Touchpad,Dual Array Digital Microphones,Built-in Dual Speakers,"Bang and Olufsen Play DTS Studio Sound, HP Audio Boost 2.0, DTS Headphone: X Technology",No,Intel Core i7-8750H,"2.2 GHz, Hexa Core Turbo Boost Upto 4.1 GHz",9 MB,NVIDIA,8th Gen,NVIDIA Geforce RTX 2070,16 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Mini Security Slot,Intel HM370,GDDR6 8 GB,Upto 32 GB,4 Cell Battery,200 W AC Adapter,"Li-ion Polymer Battery with Fast Charge Support, Miracast Compatible",,,2,1 TB,7200 RPM,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2666 MHz,"HP Audio Switch, HP Support Assistant, HP Jumpstart, OMEN Command Center",,,,,,
350,Asus,"₹49,990",,Core i5,8265U,"Everyday Use, Gaming, Business, Performance",Netbook,Windows 10 Home (64-bit),323 x 226 x 18 mm,1.4 kg,1 year Warranty,LED,No,14 inches,1920 x 1080 pixels,~ 157,,Yes,Ultra Slim Full HD Display,No,IEEE 802.11ac,v4.2,"1 x USB Type-C, 1 x USB 3.0, 2 x USB 2.0",1 x HDMI v1.4 Port,Yes,Yes,Yes,Yes,Illuminated Chiclet Keyboard,,Yes,Built-in Array Microphone,Built-in Speakers,"Audio by ICEpower, Sonic Focus",No,Intel Core i5-8265U,"1.6 GHz, Quad Core Turbo Boost Upto 3.9 GHz",6 MB,Intel,8th Gen,Intel Integrated UHD 620,8 GB DDR4,256 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,Intel,,Upto 12 GB,3 Cell Battery,45 W AC Adapter,Li-ion Battery,,Upto 6 hours,1,1 TB,5400 RPM,,Micro SD Card Reader,,"Asus GiftBox, Asus Splendid",,,,,,
351,Alienware,"₹3,20,990",,Core i9,8950HK,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),389 x 305 x 25.4 mm,3.49 kg,1 year Onsite Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display with NVIDIA G-sync Enabled,Gigabit Ethernet,IEEE 802.11ac,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Alienware TactX Keyboard,,Yes,Built-in Digital Microphone,Built-in Speakers,,No,Intel Core i9,"2.9 GHz, Hexa Core Turbo Boost Upto 4.8 GHz",12 MB,NVIDIA,8th Gen,NVIDIA Geforce GTX 1080,32 GB DDR4,1 TB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",Noble Lock Port,,GDDR5 8 GB,,6 Cell Battery,,Li-ion Polymer Battery,,,2,1 TB,7200 RPM,,,2666 MHz,"Alienware Sound Center, Microsoft Office Home and Student 2016",,,,,,
352,Asus,"₹56,600",,Ryzen 5 ,3550H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),399.8 x 279.4 x 27.6 mm,2.6 kg,1 year Onsite Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit IPS Display (with 60 Hz Refresh Rate),10/100/1000 Mbps,IEEE 802.11ac,v4.2,"2 x USB 3.0, 1 x USB 2.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Illuminated Chiclet Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,"2 x 2 W Stereo Speakers, DTS Headphone: X Technology",No,AMD Ryzen 5 ,"2.1 GHz, Quad Core Turbo Boost Upto 3.7 GHz",2 MB,AMD,,AMD Radeon RX 560X,8 GB DDR4,,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,,GDDR5 4 GB,,4 Cell Battery,120 W AC Adapter,"Li-ion Polymer Battery, Nanoedge Display, Bezel Width: 7.18mm, AMD Radeon Free Sync, Military-Grade Toughness: Passed Numerous MIL-STD-810G Tests, Desktop Inspired Layout, RGB Backlit Keys with Highlighted Wasd Key Group, Hypercool Technology, Anti-dust Cooling, Hyperfan, Immersive 7.1 Channel Surround Sound",,,2,1 TB,5400 RPM,,,2400 MHz,Asus Splendid,,,,,,
353,Dell,"₹2,28,990",,Core i7,8750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),424 x 332 x 29.9 mm,4.42 kg,1 year Onsite Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit IPS Display with NVIDIA G-sync Enabled,Gigabit Ethernet,IEEE 802.11ac,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Alienware TactX Keyboard,,Yes,Built-in Digital Microphone,Built-in Speakers,,No,Intel Core i7,"2.2 GHz, Hexa Core Turbo Boost Upto 4.1 GHz",9 MB,NVIDIA,8th Gen,NVIDIA Geforce GTX 1070,16 GB DDR4,512 GB,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",Noble Lock Port,,GDDR5 8 GB,,6 Cell Battery,,Li-ion Polymer Battery,,,2,1 TB,7200 RPM,,,2666 MHz,"Alienware Sound Center, Microsoft Office Home and Student 2016",,,,,,
354,Dell,"₹1,83,490",,Core i7,8750H,Gaming,Netbook,Windows 10 Home Plus,363.22 x 274.32 x 20.32 mm,2.18 kg,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,,,Yes,v5,2 x USB 3.0,1 x HDMI 2.0 Port,,Yes,Yes,Yes,,,All-points addressable (APA) trackpad,Yes,,,No,Intel Core i7-8750H,"2.2 GHz, Hexa Core Turbo Boost Upto 4.1 GHz",9 MB,Nvidia,8th Gen,NVIDIA GeForce RTX 2060 6GB GDDR6,8 GB DDR4,512 GB,,,,GDDR6 6 GB,Upto 32 GB,,130W (Standard),,,Upto 17 hours,,,,,,2666 MHz,,Yes,,,,,
355,Asus,"₹1,64,990",,Core i7,8750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),361 x 262 x 26.1 mm,2.4 kg,1 year Onsite Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display,10/100/1000 Mbps,IEEE 802.11ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Illuminated Chiclet Keyboard 4 Zone RGB,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 3.5 W Speakers with Smart AMP Technology,No,Intel Core i7,"2.2 GHz, Hexa Core Turbo Boost Upto 4.1 GHz",9 MB,NVIDIA,8th Gen,NVIDIA Geforce RTX 2060,8 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,Intel HM370,GDDR6 6 GB,Upto 32 GB,4 Cell Battery,230 W AC Adapter,"Li-ion Battery, Ultra Wide Viewing Angle, Super Narrow Bezel, Sleek Design, 2.33cm Narrower than Predecessor, Hypercool Pro",,,2,1 TB,5400 RPM,SATA,SD Card Reader,2666 MHz,Asus Splendid,,,,,,
356,Asus,"₹51,777",,Ryzen 5,3550H,Gaming,Netbook,Windows 10 Home Basic (64-bit),360.68 x 261.62 x 25.4 mm,2.22 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display,,802.11 a/b/g/n/ac,v4.2,2 x USB 3.0,1 x HDMI Port,,Yes,Yes,Yes,Gaming Keyboard,Yes,Multi-Touch Gestures Enabled,Dual Array Digital Microphone,Stereo Speakers,,No,AMD Ryzen 5 3550H,"2.1 GHz, Quad Core Turbo Boost Upto 3.7 GHz",2 MB,AMD,,AMD Radeon RX 560X,8 GB DDR4,,"Laptop, Battery, AC Adapter, User Guide, Manuals",,,4 GB,Upto 32 GB,3 Cell Battery,,,,,2,1 TB,5400 RPM,SATA,Yes,2400 MHz,,,,,,,
